"inv_id" "sim_gen" "freq" "freq_p1" "freq_p2" "num_qtns" "mean_qtnSelCoef" "sd_qtnSelCoef" "mean_qtnDom" "sd_qtnDom" "inv_FST" "inv_originGen" "inv_pos" "inv_end" "inv_length"
336873 400 0.00025 0 0.0005 1 -0.00337986 0 0 0 0 400 629928 677885 47958
336874 400 0.00025 0 0.0005 0 0 0 0 0 0 400 1925541 1933307 7767
371593 600 0.003 0.0045 0.0015 2 -0.00238402 0.00469269 0 0 0 441 486535 492126 5592
371593 1200 0.01675 0.0155 0.018 3 -0.00195694 0.00339969 0 0 0 441 486535 492126 5592
371593 800 0.0165 0.016 0.017 2 -0.00238402 0.00469269 0 0 0 441 486535 492126 5592
371593 1000 0.052 0.053 0.051 3 -0.00260675 0.00334059 0 0 0.0000202856 441 486535 492126 5592
405408 600 0.02725 0.028 0.0265 4 0.00189084 0.00125189 0 0 0 481 1229631 1261079 31449
446834 600 0.003 0.002 0.004 1 -0.000384253 0 0 0 0 530 507868 542193 34326
449375 600 0.00475 0.005 0.0045 0 0 0 0 0 0 533 466563 473698 7136
449375 800 0.01775 0.0175 0.018 0 0 0 0 0 0 533 466563 473698 7136
457791 1000 0.00425 0.005 0.0035 3 0.000939083 0.00176676 0 0 0 543 131615 165077 33463
457791 600 0.0065 0.006 0.007 2 0.00182178 0.00125218 0 0 0 543 131615 165077 33463
457791 800 0.045 0.049 0.041 8 0.000530419 0.00225421 0 0 0 543 131615 165077 33463
461167 600 0.01275 0.0125 0.013 6 -0.000596838 0.00181192 0 0 0 547 1002796 1051002 48207
461167 800 0.0195 0.019 0.02 4 -0.00161264 0.00276187 0 0 0 547 1002796 1051002 48207
461167 1000 0.02125 0.0255 0.017 4 0.000964188 0.0015614 0 0 0 547 1002796 1051002 48207
473012 600 0.012 0.0135 0.0105 3 -0.00182203 0.00182071 0 0 0 561 1312249 1327946 15698
480679 600 0.0045 0.0065 0.0025 0 0 0 0 0 0 570 1621662 1626096 4435
482408 600 0.0005 0 0.001 0 0 0 0 0 0 572 937546 958576 21031
482409 600 0.00225 0.002 0.0025 3 0.00147149 0.000784694 0 0 0 572 1047348 1091361 44014
487496 600 0.0045 0.005 0.004 1 -0.00312176 0 0 0 0 578 1235911 1244380 8470
