sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
7400 24 -0.00209865 -0.218771 0.214574 -0.00190944 -0.00228785 0.309459 0.045851 -0.151793 0.0727486 0.525943 0.058355 -0.14887 0.0740577
7600 28 0.00501422 -0.216126 0.226155 0.00436526 0.00566318 0.310533 0.0441624 -0.149874 0.0701105 0.532322 0.0568095 -0.156978 0.0719113
7800 24 0.00162398 -0.239196 0.242444 0.0013607 0.00188726 0.300398 0.0438917 -0.166206 0.0709858 0.54148 0.0575082 -0.168543 0.0725698
8000 25 0.0028446 -0.24592 0.251609 0.00254506 0.00314413 0.297514 0.044585 -0.171015 0.0724365 0.546579 0.0559632 -0.174996 0.0705169
8200 24 -0.00333249 -0.27704 0.270375 -0.00295727 -0.00370772 0.284083 0.043819 -0.193219 0.0727141 0.557415 0.0604034 -0.188586 0.075846
8400 26 -0.00220717 -0.26798 0.263566 -0.00177019 -0.00264416 0.288066 0.0454587 -0.186851 0.0755696 0.553402 0.0574766 -0.183603 0.0721164
8600 27 0.00018249 -0.276186 0.276551 0.00023136 0.000133619 0.284556 0.0454949 -0.19272 0.0758001 0.560876 0.0587384 -0.19291 0.0737277
8800 30 0.00430667 -0.297149 0.305762 0.00359419 0.00501914 0.275574 0.0435889 -0.207786 0.0745042 0.577742 0.06034 -0.214037 0.0754782
9000 33 -0.000955495 -0.295805 0.293894 -0.000708004 -0.00120299 0.276158 0.0438514 -0.206843 0.0750424 0.57076 0.057556 -0.205346 0.0720254
9200 34 -0.000760557 -0.310884 0.309363 -0.00054924 -0.000971874 0.269914 0.0452027 -0.217833 0.0778013 0.579827 0.0604369 -0.216659 0.0755325
9400 37 -0.00225011 -0.344118 0.339618 -0.0016633 -0.00283691 0.256223 0.0458043 -0.242241 0.08102 0.597504 0.06095 -0.238758 0.0761173
9600 40 0.00298586 -0.328036 0.334007 0.00253635 0.00343537 0.262619 0.0421557 -0.230223 0.0744601 0.59409 0.0579756 -0.234478 0.0723795
9800 53 0.00120633 -0.309662 0.312075 0.000981583 0.00143107 0.270305 0.0432362 -0.216844 0.0746684 0.581399 0.0602931 -0.218614 0.075456
10000 40 0.000900088 -0.318876 0.320676 0.000643782 0.00115639 0.266354 0.0413376 -0.223434 0.0719565 0.586387 0.0600901 -0.224862 0.0750562
10200 33 0.0128616 -0.0177769 0.0435001 0.012512 0.0132112 0.40401 0.0567776 -0.0122552 0.0789984 0.434998 0.0612266 -0.0300106 0.0823231
10400 35 0.0182393 0.00958456 0.0268941 0.0181099 0.0183688 0.417846 0.0607448 0.00661326 0.0831769 0.426631 0.0620493 -0.0185546 0.0842203
10600 28 0.0182507 -0.00269473 0.0391961 0.0180819 0.0184195 0.411689 0.0598939 -0.00189146 0.0830158 0.432803 0.0607378 -0.0269959 0.0822936
10800 33 0.0196346 -0.00919841 0.0484676 0.0191928 0.0200764 0.408566 0.0617738 -0.0063526 0.0856552 0.437841 0.0659984 -0.0334716 0.0887795
11000 27 0.0194597 0.0036436 0.0352758 0.0193731 0.0195463 0.414964 0.0621714 0.0025281 0.0852882 0.430866 0.0617158 -0.0243044 0.0838081
11200 30 0.0137417 0.0200852 0.00739812 0.0139682 0.0135151 0.423337 0.0642126 0.0138699 0.0874557 0.416767 0.0607045 -0.00507605 0.0835581
11400 27 0.02051 0.0111488 0.0298712 0.0206528 0.0203672 0.4187 0.0616787 0.00767417 0.0846344 0.427918 0.0584906 -0.0205861 0.0792492
11600 35 0.0161272 0.0126434 0.019611 0.0160365 0.0162179 0.419722 0.0660235 0.00874088 0.0902948 0.423297 0.0669834 -0.0135337 0.091534
11800 29 0.0240958 -0.00539329 0.0535849 0.0238626 0.024329 0.410873 0.0677624 -0.00374801 0.0939824 0.440595 0.0681467 -0.0370376 0.0913458
12000 36 0.0168023 0.0340122 -0.000407646 0.0172458 0.0163587 0.430746 0.0695376 0.0234878 0.094529 0.413093 0.064147 0.000294661 0.0885678
12200 36 0.0204414 0.0440159 -0.00313313 0.0207112 0.0201716 0.435762 0.0687721 0.0304153 0.0927953 0.411918 0.0667638 0.0021759 0.0923314
12400 36 0.0214503 0.0119739 0.0309267 0.0213142 0.0215864 0.4195 0.0674237 0.00825154 0.0926437 0.429113 0.068735 -0.021378 0.0932563
12600 37 0.0151742 0.0241712 0.00617724 0.0151499 0.0151985 0.425348 0.0635212 0.0166889 0.0862537 0.416375 0.0643859 -0.00427715 0.0883362
