sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
7600 25 -0.000168674 0.115483 -0.115821 -0.000137922 -0.000199426 0.472096 0.0559442 0.0796466 0.0730934 0.356413 0.0488489 0.0798784 0.0721157
7800 33 0.00104333 0.140353 -0.138267 0.00101399 0.00107268 0.48531 0.0555587 0.0969 0.0718234 0.34603 0.0497545 0.0954815 0.0744807
8000 35 -0.00180013 0.110474 -0.114074 -0.00185491 -0.00174536 0.469466 0.0562685 0.0761832 0.0737066 0.357247 0.0494199 0.0786399 0.0723028
8200 36 0.00367373 0.0597027 -0.0523553 0.00373954 0.00360792 0.442912 0.0545451 0.0411148 0.0727681 0.386817 0.0521824 0.0360395 0.0737555
8400 35 0.000144504 0.0808791 -0.08059 1.79172e-05 0.00027109 0.45405 0.057832 0.0557474 0.0766711 0.373442 0.0554335 0.0555706 0.0797751
8600 42 0.00427871 0.114878 -0.106321 0.00459674 0.00396067 0.471988 0.0601615 0.0793281 0.0784617 0.361071 0.0521787 0.0733633 0.076702
8800 38 0.00319291 0.14025 -0.133865 0.00340465 0.00298117 0.485475 0.0596526 0.0969071 0.0772976 0.348206 0.0519957 0.0924754 0.0776653
9000 26 0.00326868 0.162858 -0.156321 0.00354701 0.00299035 0.497622 0.0592395 0.11265 0.0761284 0.337754 0.0501348 0.108064 0.0758625
9200 33 0.000370644 0.174406 -0.173665 0.000522093 0.000219194 0.504054 0.0623793 0.120813 0.0799301 0.329868 0.050021 0.120215 0.0769661
9400 32 0.000799757 0.156005 -0.154405 0.000805818 0.000793695 0.493976 0.0604074 0.107904 0.0777234 0.338766 0.05225 0.106798 0.0791467
9600 33 -0.0012352 0.152772 -0.155243 -0.00140476 -0.00106565 0.492222 0.0597306 0.105596 0.0772972 0.338384 0.0522047 0.107387 0.0791811
9800 33 0.00132355 0.160981 -0.158334 0.00117871 0.00146839 0.496633 0.059594 0.111336 0.0767482 0.337121 0.0543583 0.109631 0.0829025
10000 35 -0.000311038 0.215313 -0.215935 -0.000409758 -0.000212318 0.526466 0.0607545 0.149478 0.0770288 0.310941 0.0495973 0.149928 0.078424
10200 33 0.021184 0.0667956 -0.0244276 0.0215538 0.0208143 0.447047 0.0628471 0.0460917 0.0838169 0.401065 0.0620976 0.0168464 0.0866712
10400 36 0.018691 0.0193058 0.0180761 0.0188562 0.0185257 0.422848 0.062719 0.0133251 0.0854565 0.422068 0.0600707 -0.0124565 0.0820061
10600 30 0.0233988 0.0509077 -0.00411016 0.0238068 0.0229908 0.439136 0.0662659 0.0351044 0.0896451 0.411219 0.0637368 0.00283819 0.0880529
10800 36 0.0172447 0.0270058 0.00748351 0.0173296 0.0171598 0.42662 0.0607941 0.0186029 0.0828111 0.416774 0.0599384 -0.00510934 0.082851
11000 45 0.021241 0.0270172 0.0154649 0.0213969 0.0210851 0.427066 0.0673912 0.0186312 0.0919263 0.421134 0.0657739 -0.0106626 0.0900757
11200 44 0.018957 0.0489425 -0.0110285 0.0192406 0.0186734 0.438067 0.0653569 0.0337491 0.0883016 0.407798 0.0636989 0.00763647 0.0886279
11400 30 0.0230891 0.0196346 0.0265436 0.0231883 0.0229899 0.423304 0.0672511 0.0135899 0.0916091 0.42666 0.0649178 -0.0182914 0.0885659
