sim_gen inv_id freq freq_p1 freq_p2 num_qtns mean_qtnSelCoef sd_qtnSelCoef mean_qtnDom sd_qtnDom inv_FST 
800 666353 0.00175 0.0025 0.001 1 -0.00190063 0 0 0 0
800 672051 0.00025 0 0.0005 2 0.000911969 0.000448523 0 0 0
800 662821 0.001 0.001 0.001 0 0 0 0 0 0
800 673764 0.00025 0.0005 0 1 0.00157595 0 0 0 0
1000 835858 0.00275 0.0035 0.002 3 -0.00216761 0.00187125 0 0 0
1000 503027 0.00275 0.004 0.0015 0 0 0 0 0 0
1000 62541 0.07125 0.0695 0.073 19 -0.000104124 0.00183059 0 0 4.62799e-05
1000 573521 0.00825 0.005 0.0115 3 0.000774114 0.0012647 0 0 0
1000 276850 0.0195 0.0165 0.0225 7 0.00083249 0.00232879 0 0 0
1000 136813 0.002 0.001 0.003 3 -0.000772641 0.00131535 0 0 0
1000 111299 0.033 0.0275 0.0385 2 -0.000906142 0.000772255 0 0 0
1000 805914 0.0045 0.004 0.005 5 0.000594565 0.00230147 0 0 0
1000 419486 0.1195 0.118 0.121 3 0.000770413 0.00194529 0 0 2.13838e-05
1000 792511 0.00225 0.0025 0.002 0 0 0 0 0 0
1000 829954 0.0015 0.0005 0.0025 1 -0.000196914 0 0 0 0
1000 679754 0.001 0.002 0 2 0.000564373 0.00156072 0 0 0
1000 258285 0.11275 0.126 0.0995 10 0.000853188 0.00212334 0 0 0.00175497
1000 811887 0.0045 0.0045 0.0045 0 0 0 0 0 0
1000 736668 0.0235 0.0255 0.0215 5 -0.000553713 0.00172657 0 0 0
1000 816153 0.004 0.004 0.004 0 0 0 0 0 0
1000 818759 0.00025 0 0.0005 0 0 0 0 0 0
1000 829955 0.00075 0.001 0.0005 3 -0.00101665 0.002271 0 0 0
1000 830777 0.00025 0 0.0005 0 0 0 0 0 0
1000 838421 0.001 0 0.002 0 0 0 0 0 0
1000 838420 0.00025 0 0.0005 0 0 0 0 0 0
1000 842520 0.00025 0.0005 0 4 -0.000842401 0.0016704 0 0 0
1000 842521 0.00025 0.0005 0 5 0.00015432 0.00224672 0 0 0
1200 1001424 0.004 0.0045 0.0035 0 0 0 0 0 0
1200 1008965 0.001 0.002 0 2 -0.000637966 0.00258058 0 0 0
1200 62541 0.18 0.185 0.175 29 6.64568e-05 0.00184298 0 0 0.000169377
1200 969328 0.03225 0.0315 0.033 0 0 0 0 0 0
1200 1005713 0.00075 0.0005 0.001 1 -0.00155346 0 0 0 0
1200 937351 0.02225 0.025 0.0195 7 -0.000801511 0.00247501 0 0 0
1200 111299 0.0065 0.0085 0.0045 0 0 0 0 0 0
1200 805914 0.0605 0.0665 0.0545 12 0.00029827 0.00195819 0 0 0.00063336
1200 419486 0.21675 0.2105 0.223 10 -0.000887596 0.0019952 0 0 0.000230091
1200 987140 0.001 0 0.002 0 0 0 0 0 0
