"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3385143 1e-06 1e-06 0.75 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3385144 1e-06 1e-06 0.75 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3385145 1e-06 1e-06 0.75 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385146 1e-06 1e-06 0.75 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3385147 1e-06 1e-06 0.75 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3385148 1e-06 1e-06 0.75 0.2 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385149 1e-06 1e-06 0.75 0.2 1 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3385150 1e-06 1e-06 0.75 0.2 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3385151 1e-06 1e-06 0.75 0.2 1 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385152 1e-06 1e-06 0.75 0.2 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3385153 1e-06 1e-06 0.75 0.2 1 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
3385154 1e-06 1e-06 0.75 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385155 1e-06 1e-06 0.75 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3385156 1e-06 1e-06 0.75 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3385157 1e-06 1e-06 0.75 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385158 1e-06 1e-06 0.75 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3385159 1e-06 1e-06 0.75 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3385160 1e-06 1e-06 0.75 0.2 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385161 1e-06 1e-06 0.75 0.2 2 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3385162 1e-06 1e-06 0.75 0.2 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3385163 1e-06 1e-06 0.75 0.2 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385164 1e-06 1e-06 0.75 0.2 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3385165 1e-06 1e-06 0.75 0.2 2 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
3385166 1e-06 1e-06 0.75 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385167 1e-06 1e-06 0.75 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3385168 1e-06 1e-06 0.75 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3385169 1e-06 1e-06 0.75 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385170 1e-06 1e-06 0.75 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3385171 1e-06 1e-06 0.75 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3385172 1e-06 1e-06 0.75 0.2 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385173 1e-06 1e-06 0.75 0.2 3 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3385174 1e-06 1e-06 0.75 0.2 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3385175 1e-06 1e-06 0.75 0.2 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385176 1e-06 1e-06 0.75 0.2 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3385177 1e-06 1e-06 0.75 0.2 3 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
3385178 1e-06 1e-06 0.75 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385179 1e-06 1e-06 0.75 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3385180 1e-06 1e-06 0.75 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3385181 1e-06 1e-06 0.75 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385182 1e-06 1e-06 0.75 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3385183 1e-06 1e-06 0.75 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3385184 1e-06 1e-06 0.75 0.2 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385185 1e-06 1e-06 0.75 0.2 4 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3385186 1e-06 1e-06 0.75 0.2 4 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3385187 1e-06 1e-06 0.75 0.2 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385188 1e-06 1e-06 0.75 0.2 4 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3385189 1e-06 1e-06 0.75 0.2 4 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
3385190 1e-06 1e-06 0.75 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385191 1e-06 1e-06 0.75 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3385192 1e-06 1e-06 0.75 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3385193 1e-06 1e-06 0.75 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385194 1e-06 1e-06 0.75 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3385195 1e-06 1e-06 0.75 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3385196 1e-06 1e-06 0.75 0.2 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385197 1e-06 1e-06 0.75 0.2 5 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3385198 1e-06 1e-06 0.75 0.2 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3385199 1e-06 1e-06 0.75 0.2 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385200 1e-06 1e-06 0.75 0.2 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3385201 1e-06 1e-06 0.75 0.2 5 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
3385202 1e-06 1e-06 1.5 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385203 1e-06 1e-06 1.5 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3385204 1e-06 1e-06 1.5 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3385205 1e-06 1e-06 1.5 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385206 1e-06 1e-06 1.5 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3385207 1e-06 1e-06 1.5 0.002 1 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3385208 1e-06 1e-06 1.5 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385209 1e-06 1e-06 1.5 0.002 1 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3385210 1e-06 1e-06 1.5 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3385211 1e-06 1e-06 1.5 0.002 1 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
