"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3385502 0.00000001 0 3 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385503 0.00000001 0 3 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385504 0.00000001 0 3 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385505 0.00000001 0 3 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385506 0.00000001 0 3 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385507 0.00000001 0 3 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385508 0.00000001 0 3 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385509 0.00000001 0 3 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385510 0.00000001 0 3 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385511 0.00000001 0 3 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385512 0.00000001 0 3 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385513 0.00000001 0 3 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385514 0.00000001 0 3 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385515 0.00000001 0 3 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385516 0.00000001 0 3 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385517 0.00000001 0 3 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385518 0.00000001 0 3 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385519 0.00000001 0 3 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385520 0.00000001 0 3 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385521 0.00000001 0 3 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385522 0.00000001 0 3 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385523 0.00000001 0 3 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385524 0.00000001 0 3 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385525 0.00000001 0 3 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385526 0.00000001 0 3 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
