"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383336,1e-07,0,0.9,0.2,1,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383337,1e-07,0,0.9,0.2,1,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383338,1e-07,0,0.9,0.2,1,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383339,1e-07,0,0.9,0.2,1,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383340,1e-07,0,0.9,0.2,1,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383341,1e-07,0,0.9,0.2,1,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383342,1e-07,0,0.9,0.2,2,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383343,1e-07,0,0.9,0.2,2,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383344,1e-07,0,0.9,0.2,2,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383345,1e-07,0,0.9,0.2,2,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383346,1e-07,0,0.9,0.2,2,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383347,1e-07,0,0.9,0.2,2,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383348,1e-07,0,0.9,0.2,2,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383349,1e-07,0,0.9,0.2,2,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383350,1e-07,0,0.9,0.2,2,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383351,1e-07,0,0.9,0.2,2,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383352,1e-07,0,0.9,0.2,3,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383353,1e-07,0,0.9,0.2,3,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383354,1e-07,0,0.9,0.2,3,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383355,1e-07,0,0.9,0.2,3,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383356,1e-07,0,0.9,0.2,3,1000,0,0.5,0.5,1,-1,4000,21,1e-06
