"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
"56" 3384507 1e-06 0 1.5 0.002 3 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"57" 3384510 1e-06 0 1.5 0.002 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"58" 3384511 1e-06 0 1.5 0.002 3 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"59" 3384512 1e-06 0 1.5 0.002 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"60" 3384514 1e-06 0 1.5 0.002 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"61" 3384515 1e-06 0 1.5 0.002 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"62" 3384516 1e-06 0 1.5 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"63" 3384517 1e-06 0 1.5 0.002 3 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"64" 3384518 1e-06 0 1.5 0.002 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"65" 3384519 1e-06 0 1.5 0.002 4 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"66" 3384521 1e-06 0 1.5 0.002 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"67" 3384522 1e-06 0 1.5 0.002 4 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"68" 3384523 1e-06 0 1.5 0.002 4 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"69" 3384524 1e-06 0 1.5 0.002 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"70" 3384525 1e-06 0 1.5 0.002 4 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"71" 3384529 1e-06 0 1.5 0.002 4 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
